Question,Correct_PDF,Top_Results,Latency_ms,Recall@1,Recall@3,Recall@5,Top_Citations
What is the main AI-related objective of Neural Collaborative Filtering Xiangnan He National University of?,1708.05031v2.pdf,"['1708.05031v2.pdf', 'Recommender-Systems-[Netflix].pdf', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf', '1708.05031v2.pdf', 'AD1099286.pdf']",302.41,1,1,1,"['1708.05031v2.pdf, p. 1', 'Recommender-Systems-[Netflix].pdf, p. 8', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf, p. 13', '1708.05031v2.pdf, p. 1', 'AD1099286.pdf, p. 20']"
What is the main AI-related objective of Deep Reinforcement Learning for Conversational AI Mahipal Jadeja DA-IICT?,1709.05067v1.pdf,"['1709.05067v1.pdf', '1709.05067v1.pdf', '1709.05067v1.pdf', '1709.05067v1.pdf', '1709.05067v1.pdf']",380.82,1,1,1,"['1709.05067v1.pdf, p. 1', '1709.05067v1.pdf, p. 1', '1709.05067v1.pdf, p. 1', '1709.05067v1.pdf, p. 4', '1709.05067v1.pdf, p. 3']"
What is the main AI-related objective of GRAPH ATTENTION NETWORKS Petar Velickovi c Department of Computer Science and?,1710.10903v3.pdf,"['1710.10903v3.pdf', '1710.10903v3.pdf', '1710.10903v3.pdf', 's44163-022-00022-8.pdf', '1812.08434v6.pdf']",377.23,1,1,1,"['1710.10903v3.pdf, p. 1', '1710.10903v3.pdf, p. 9', '1710.10903v3.pdf, p. 4', 's44163-022-00022-8.pdf, p. 2', '1812.08434v6.pdf, p. 15']"
What is the main AI-related objective of AI Safety Gridworlds Jan Leike DeepMind?,1711.09883v2.pdf,"['1711.09883v2.pdf', '1606.06565v2.pdf', 'AD1099286.pdf', '1711.09883v2.pdf', '1606.06565v2.pdf']",356.33,1,1,1,"['1711.09883v2.pdf, p. 1', '1606.06565v2.pdf, p. 21', 'AD1099286.pdf, p. 20', '1711.09883v2.pdf, p. 2', '1606.06565v2.pdf, p. 1']"
What is the main AI-related objective of Efficient Neural Architecture Search via Parameter Sharing Hieu Pham * 1 2 Melody Y.?,1802.03268v2.pdf,"['1802.03268v2.pdf', '1806.09055v2.pdf', '1802.03268v2.pdf', '1908.00709v6.pdf', '1908.00709v6.pdf']",618.48,1,1,1,"['1802.03268v2.pdf, p. 1', '1806.09055v2.pdf, p. 11', '1802.03268v2.pdf, p. 6', '1908.00709v6.pdf, p. 1', '1908.00709v6.pdf, p. 7']"
What is the main AI-related objective of Horovod: fast and easy distributed deep learning in TensorFlow Alexander Sergeev?,1802.05799v3.pdf,"['1802.05799v3.pdf', '1802.05799v3.pdf', '1802.05799v3.pdf', '1802.05799v3.pdf', '1802.05799v3.pdf']",453.42,1,1,1,"['1802.05799v3.pdf, p. 1', '1802.05799v3.pdf, p. 7', '1802.05799v3.pdf, p. 1', '1802.05799v3.pdf, p. 1', '1802.05799v3.pdf, p. 1']"
What is the main AI-related objective of Future of Humanity Institute?,1802.07228v2.pdf,"['Informe-AI-Now.pdf', '1802.07228v2.pdf', '1802.07228v2.pdf', 'Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf', '1802.07228v2.pdf']",336.99,0,1,1,"['Informe-AI-Now.pdf, p. 3', '1802.07228v2.pdf, p. 2', '1802.07228v2.pdf, p. 2', 'Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf, p. 6', '1802.07228v2.pdf, p. 76']"
What is the main AI-related objective of DARTS: DIFFERENTIABLE ARCHITECTURE SEARCH Hanxiao Liu?,1806.09055v2.pdf,"['1908.00709v6.pdf', '1806.09055v2.pdf', '1806.09055v2.pdf', '1806.09055v2.pdf', '1908.00709v6.pdf']",380.74,0,1,1,"['1908.00709v6.pdf, p. 13', '1806.09055v2.pdf, p. 1', '1806.09055v2.pdf, p. 1', '1806.09055v2.pdf, p. 2', '1908.00709v6.pdf, p. 9']"
"What is the main AI-related objective of Learning Dexterous In-Hand Manipulation OpenAI, Marcin Andrychowicz, Bowen Baker,?",1808.00177v5.pdf,"['1808.00177v5.pdf', '1808.00177v5.pdf', '1808.00177v5.pdf', '1808.00177v5.pdf', '1808.00177v5.pdf']",397.87,1,1,1,"['1808.00177v5.pdf, p. 14', '1808.00177v5.pdf, p. 1', '1808.00177v5.pdf, p. 14', '1808.00177v5.pdf, p. 17', '1808.00177v5.pdf, p. 16']"
"What is the main AI-related objective of Graph neural networks: A review of methods and applications Jie Zhou a,1, Ganqu Cui?",1812.08434v6.pdf,"['1812.08434v6.pdf', '1812.08434v6.pdf', '1812.08434v6.pdf', '1812.08434v6.pdf', '1812.08434v6.pdf']",512.25,1,1,1,"['1812.08434v6.pdf, p. 1', '1812.08434v6.pdf, p. 19', '1812.08434v6.pdf, p. 15', '1812.08434v6.pdf, p. 19', '1812.08434v6.pdf, p. 1']"
What is the main AI-related objective of Sensitivity analysis beyond linearity Manuele Leonelli School of Mathematics and?,1901.02062v1.pdf,"['1606.06565v2.pdf', '1901.02062v1.pdf', 's44163-022-00022-8.pdf', '1711.09883v2.pdf', '978-3-030-69978-9_4.pdf']",349.15,0,1,1,"['1606.06565v2.pdf, p. 25', '1901.02062v1.pdf, p. 1', 's44163-022-00022-8.pdf, p. 13', '1711.09883v2.pdf, p. 15', '978-3-030-69978-9_4.pdf, p. 2']"
What is the main AI-related objective of GANFIT: Generative Adversarial Network Fitting for High Fidelity 3D Face?,1902.05978v2.pdf,"['1902.05978v2.pdf', '1902.05978v2.pdf', '1902.05978v2.pdf', '1902.05978v2.pdf', '1902.05978v2.pdf']",339.4,1,1,1,"['1902.05978v2.pdf, p. 1', '1902.05978v2.pdf, p. 1', '1902.05978v2.pdf, p. 2', '1902.05978v2.pdf, p. 1', '1902.05978v2.pdf, p. 4']"
What is the main AI-related objective of RoBERTa: A Robustly Optimized BERT Pretraining Approach Yinhan Liu Myle Ott?,1907.11692v1.pdf,"['NeurIPS-2020-language-models-are-few-shot-learners-Paper.pdf', '1907.11692v1.pdf', '2303.18223v19.pdf', '2303.18223v19 (1).pdf', '20-074.pdf']",350.94,0,1,1,"['NeurIPS-2020-language-models-are-few-shot-learners-Paper.pdf, p. 22', '1907.11692v1.pdf, p. 1', '2303.18223v19.pdf, p. 101', '2303.18223v19 (1).pdf, p. 101', '20-074.pdf, p. 63']"
"What is the main AI-related objective of AutoML: A Survey of the State-of-the-Art Xin He, Kaiyong Zhao, Xiaowen Chu?",1908.00709v6.pdf,"['1908.00709v6.pdf', '1908.00709v6.pdf', '1908.00709v6.pdf', '1908.00709v6.pdf', '1908.00709v6.pdf']",391.42,1,1,1,"['1908.00709v6.pdf, p. 1', '1908.00709v6.pdf, p. 2', '1908.00709v6.pdf, p. 1', '1908.00709v6.pdf, p. 1', '1908.00709v6.pdf, p. 26']"
"What is the main AI-related objective of Federated Learning: Challenges, Methods, and Future Directions Tian Li?",1908.07873v1.pdf,"['1908.07873v1.pdf', '1908.07873v1.pdf', '1911.06270v2.pdf', '1908.07873v1.pdf', '1911.06270v2.pdf']",303.99,1,1,1,"['1908.07873v1.pdf, p. 1', '1908.07873v1.pdf, p. 4', '1911.06270v2.pdf, p. 3', '1908.07873v1.pdf, p. 13', '1911.06270v2.pdf, p. 12']"
"What is the main AI-related objective of A Survey on Bias and Fairness in Machine Learning NINAREH MEHRABI, FRED MORSTATTER,?",1908.09635v3.pdf,"['1908.09635v3.pdf', '1908.09635v3.pdf', '1908.09635v3.pdf', 'Informe-AI-Now.pdf', '1908.09635v3.pdf']",409.3,1,1,1,"['1908.09635v3.pdf, p. 1', '1908.09635v3.pdf, p. 1', '1908.09635v3.pdf, p. 31', 'Informe-AI-Now.pdf, p. 24', '1908.09635v3.pdf, p. 3']"
What is the main AI-related objective of ALBERT: A LITE BERT FOR SELF-SUPERVISED LEARNING OF LANGUAGE REPRESENTATIONS?,1909.11942v6.pdf,"['NeurIPS-2020-language-models-are-few-shot-learners-Paper.pdf', '1909.11942v6.pdf', '1909.11942v6.pdf', '20-074.pdf', '1909.11942v6.pdf']",532.78,0,1,1,"['NeurIPS-2020-language-models-are-few-shot-learners-Paper.pdf, p. 22', '1909.11942v6.pdf, p. 1', '1909.11942v6.pdf, p. 10', '20-074.pdf, p. 62', '1909.11942v6.pdf, p. 1']"
What is the main AI-related objective of A Survey of Deep Learning Techniques for Autonomous Driving Sorin Grigorescu?,1910.07738v2.pdf,"['1910.07738v2.pdf', '1910.07738v2.pdf', '1910.07738v2.pdf', '1910.07738v2.pdf', '1910.07738v2.pdf']",472.86,1,1,1,"['1910.07738v2.pdf, p. 3', '1910.07738v2.pdf, p. 1', '1910.07738v2.pdf, p. 1', '1910.07738v2.pdf, p. 20', '1910.07738v2.pdf, p. 3']"
"What is the main AI-related objective of Explainable Artificial Intelligence (XAI): Concepts, Taxonomies, Opportunities and?",1910.10045v2.pdf,"['1910.10045v2.pdf', '1910.10045v2.pdf', '1910.10045v2.pdf', '1910.10045v2.pdf', '1910.10045v2.pdf']",383.76,1,1,1,"['1910.10045v2.pdf, p. 6', '1910.10045v2.pdf, p. 1', '1910.10045v2.pdf, p. 2', '1910.10045v2.pdf, p. 47', '1910.10045v2.pdf, p. 47']"
What is the main AI-related objective of Noname manuscript No. (will be inserted by the editor) Federated Learning for?,1911.06270v2.pdf,"['1908.07873v1.pdf', '1911.06270v2.pdf', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf']",471.55,0,1,1,"['1908.07873v1.pdf, p. 4', '1911.06270v2.pdf, p. 1', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf, p. 12', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf, p. 1', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf, p. 2']"
What is the main AI-related objective of Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer?,20-074.pdf,"['1909.11942v6.pdf', '2310.01352v4.pdf', '20-074.pdf', '2303.08774v6.pdf', '20-074.pdf']",377.77,0,1,1,"['1909.11942v6.pdf, p. 13', '2310.01352v4.pdf, p. 15', '20-074.pdf, p. 1', '2303.08774v6.pdf, p. 18', '20-074.pdf, p. 3']"
What is the main AI-related objective of River: machine learning for streaming data in Python Jacob Montiel?,20-1380.pdf,"['20-1380.pdf', '20-1380.pdf', '20-1380.pdf', '20-1380.pdf', '20-1380.pdf']",420.4,1,1,1,"['20-1380.pdf, p. 1', '20-1380.pdf, p. 3', '20-1380.pdf, p. 1', '20-1380.pdf, p. 2', '20-1380.pdf, p. 4']"
What is the main AI-related objective of Compiled using MNRAS LATEX style file v3.0 Channels for streaming instability in?,2001.02692v1.pdf,"['1802.07228v2.pdf', '2204.14198v2.pdf', 'osdi18-moritz.pdf', 'osdi18-moritz.pdf', '15-237.pdf']",383.13,0,0,0,"['1802.07228v2.pdf, p. 20', '2204.14198v2.pdf, p. 39', 'osdi18-moritz.pdf, p. 15', 'osdi18-moritz.pdf, p. 14', '15-237.pdf, p. 7']"
What is the main AI-related objective of Dual-track Music Generation using Deep Learning Sudi Lyu School of Computer Science?,2005.04353v1.pdf,"['2005.04353v1.pdf', '2005.04353v1.pdf', '2005.04353v1.pdf', '2005.04353v1.pdf', '2005.04353v1.pdf']",391.32,1,1,1,"['2005.04353v1.pdf, p. 1', '2005.04353v1.pdf, p. 8', '2005.04353v1.pdf, p. 2', '2005.04353v1.pdf, p. 1', '2005.04353v1.pdf, p. 2']"
What is the main AI-related objective of Classification of particle trajectories in living cells: machine learning versus?,2005.06239v2.pdf,"['2005.06239v2.pdf', '2005.06239v2.pdf', '2005.06239v2.pdf', '2005.06239v2.pdf', '2005.06239v2.pdf']",337.7,1,1,1,"['2005.06239v2.pdf, p. 1', '2005.06239v2.pdf, p. 3', '2005.06239v2.pdf, p. 1', '2005.06239v2.pdf, p. 4', '2005.06239v2.pdf, p. 6']"
"What is the main AI-related objective of Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks Patrick Lewis,?",2005.11401v4.pdf,"['2005.11401v4.pdf', '2310.11511v1.pdf', '2210.03629v3.pdf', '2303.18223v19.pdf', '2303.18223v19 (1).pdf']",364.6,1,1,1,"['2005.11401v4.pdf, p. 1', '2310.11511v1.pdf, p. 12', '2210.03629v3.pdf, p. 11', '2303.18223v19.pdf, p. 128', '2303.18223v19 (1).pdf, p. 128']"
What is the main AI-related objective of Denoising Diffusion Probabilistic Models Jonathan Ho UC Berkeley?,2006.11239v2.pdf,"['2006.11239v2.pdf', '2006.11239v2.pdf', '2205.11487v1.pdf', '2006.11239v2.pdf', '2112.10752v2.pdf']",353.43,1,1,1,"['2006.11239v2.pdf, p. 3', '2006.11239v2.pdf, p. 1', '2205.11487v1.pdf, p. 4', '2006.11239v2.pdf, p. 5', '2112.10752v2.pdf, p. 16']"
What is the main AI-related objective of High-Resolution Image Synthesis with Latent Diffusion Models Robin Rombach1 *?,2112.10752v2.pdf,"['2112.10752v2.pdf', '2112.10752v2.pdf', '2205.11487v1.pdf', '2112.10752v2.pdf', '2112.10752v2.pdf']",364.44,1,1,1,"['2112.10752v2.pdf, p. 1', '2112.10752v2.pdf, p. 1', '2205.11487v1.pdf, p. 14', '2112.10752v2.pdf, p. 10', '2112.10752v2.pdf, p. 2']"
What is the main AI-related objective of Chain-of-Thought Prompting Elicits Reasoning in Large Language Models Jason Wei?,2201.11903v6.pdf,"['2201.11903v6.pdf', '2201.11903v6.pdf', '2201.11903v6.pdf', '2201.11903v6.pdf', '2201.11903v6.pdf']",410.26,1,1,1,"['2201.11903v6.pdf, p. 1', '2201.11903v6.pdf, p. 9', '2201.11903v6.pdf, p. 9', '2201.11903v6.pdf, p. 9', '2201.11903v6.pdf, p. 3']"
What is the main AI-related objective of Training language models to follow instructions with human feedback Long Ouyang?,2203.02155v1.pdf,"['2203.02155v1.pdf', '2310.11511v1.pdf', '2303.08774v6.pdf', '2303.08774v6.pdf', '2310.01352v4.pdf']",458.95,1,1,1,"['2203.02155v1.pdf, p. 1', '2310.11511v1.pdf, p. 14', '2303.08774v6.pdf, p. 71', '2303.08774v6.pdf, p. 37', '2310.01352v4.pdf, p. 15']"
"What is the main AI-related objective of Training Compute-Optimal Large Language Models Jordan Hoffmann, Sebastian Borgeaud,?",2203.15556v1.pdf,"['2203.15556v1.pdf', '2303.08774v6.pdf', '2302.13971v1.pdf', '1802.03268v2.pdf', '2306.01116v1.pdf']",340.91,1,1,1,"['2203.15556v1.pdf, p. 1', '2303.08774v6.pdf, p. 18', '2302.13971v1.pdf, p. 13', '1802.03268v2.pdf, p. 10', '2306.01116v1.pdf, p. 12']"
What is the main AI-related objective of PaLM: Scaling Language Modeling with Pathways Aakanksha Chowdhery Sharan Narang?,2204.02311v5 (1).pdf,"['2204.02311v5.pdf', '2204.02311v5 (1).pdf', '2302.13971v1.pdf', '2310.01352v4.pdf', '2204.02311v5.pdf']",369.75,0,1,1,"['2204.02311v5.pdf, p. 1', '2204.02311v5 (1).pdf, p. 1', '2302.13971v1.pdf, p. 12', '2310.01352v4.pdf, p. 11', '2204.02311v5.pdf, p. 64']"
What is the main AI-related objective of PaLM: Scaling Language Modeling with Pathways Aakanksha Chowdhery Sharan Narang?,2204.02311v5.pdf,"['2204.02311v5.pdf', '2204.02311v5 (1).pdf', '2302.13971v1.pdf', '2310.01352v4.pdf', '2204.02311v5.pdf']",374.02,1,1,1,"['2204.02311v5.pdf, p. 1', '2204.02311v5 (1).pdf, p. 1', '2302.13971v1.pdf, p. 12', '2310.01352v4.pdf, p. 11', '2204.02311v5.pdf, p. 64']"
What is the main AI-related objective of Hierarchical Text-Conditional Image Generation with CLIP Latents Aditya Ramesh?,2204.06125v1.pdf,"['2204.06125v1.pdf', '2205.11487v1.pdf', '2204.06125v1.pdf', '2204.06125v1.pdf', '2204.06125v1.pdf']",323.62,1,1,1,"['2204.06125v1.pdf, p. 1', '2205.11487v1.pdf, p. 13', '2204.06125v1.pdf, p. 16', '2204.06125v1.pdf, p. 16', '2204.06125v1.pdf, p. 15']"
"What is the main AI-related objective of Flamingo: a Visual Language Model for Few-Shot Learning Jean-Baptiste Alayrac*,?",2204.14198v2.pdf,"['2204.14198v2.pdf', '2305.05665v2.pdf', '2204.14198v2.pdf', '2204.14198v2.pdf', '2204.14198v2.pdf']",380.93,1,1,1,"['2204.14198v2.pdf, p. 1', '2305.05665v2.pdf, p. 9', '2204.14198v2.pdf, p. 4', '2204.14198v2.pdf, p. 7', '2204.14198v2.pdf, p. 42']"
What is the main AI-related objective of Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding?,2205.11487v1.pdf,"['2205.11487v1.pdf', '2205.11487v1.pdf', '2205.11487v1.pdf', '2205.11487v1.pdf', '2205.11487v1.pdf']",320.53,1,1,1,"['2205.11487v1.pdf, p. 1', '2205.11487v1.pdf, p. 1', '2205.11487v1.pdf, p. 9', '2205.11487v1.pdf, p. 3', '2205.11487v1.pdf, p. 1']"
What is the main AI-related objective of IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING Is Multi-Modal Necessarily?,2206.08788v1.pdf,"['Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf', '2206.08788v1.pdf', '2206.08788v1.pdf', '1802.07228v2.pdf', '1802.07228v2.pdf']",394.52,0,1,1,"['Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf, p. 6', '2206.08788v1.pdf, p. 1', '2206.08788v1.pdf, p. 10', '1802.07228v2.pdf, p. 91', '1802.07228v2.pdf, p. 56']"
"What is the main AI-related objective of Ered: Enhanced Text Representations with Entities and Descriptions Qinghua Zhao1,?",2208.08954v1.pdf,"['2208.08954v1.pdf', '2208.08954v1.pdf', '2005.11401v4.pdf', '2208.08954v1.pdf', '2208.08954v1.pdf']",357.94,1,1,1,"['2208.08954v1.pdf, p. 1', '2208.08954v1.pdf, p. 2', '2005.11401v4.pdf, p. 15', '2208.08954v1.pdf, p. 8', '2208.08954v1.pdf, p. 8']"
"What is the main AI-related objective of REACT: SYNERGIZING REASONING AND ACTING IN LANGUAGE MODELS Shunyu Yao*,1, Jeffrey?",2210.03629v3.pdf,"['2210.03629v3.pdf', '2302.04761v1.pdf', '2210.03629v3.pdf', '2302.04761v1.pdf', '2303.18223v19 (1).pdf']",373.6,1,1,1,"['2210.03629v3.pdf, p. 1', '2302.04761v1.pdf, p. 14', '2210.03629v3.pdf, p. 1', '2302.04761v1.pdf, p. 14', '2303.18223v19 (1).pdf, p. 140']"
What is the main AI-related objective of Abstract-to-Executable Trajectory Translation for One-Shot Task Generalization Stone?,2210.07658v2.pdf,"['2210.07658v2.pdf', '2210.07658v2.pdf', '2210.07658v2.pdf', '2210.07658v2.pdf', '2210.07658v2.pdf']",309.97,1,1,1,"['2210.07658v2.pdf, p. 2', '2210.07658v2.pdf, p. 33', '2210.07658v2.pdf, p. 18', '2210.07658v2.pdf, p. 21', '2210.07658v2.pdf, p. 4']"
"What is the main AI-related objective of Constitutional AI: Harmlessness from AI Feedback Yuntao Bai, Saurav Kadavath,?",2212.08073v1.pdf,"['2212.08073v1.pdf', '2212.08073v1.pdf', '2212.08073v1.pdf', '2212.08073v1.pdf', '2212.08073v1.pdf']",375.78,1,1,1,"['2212.08073v1.pdf, p. 1', '2212.08073v1.pdf, p. 2', '2212.08073v1.pdf, p. 16', '2212.08073v1.pdf, p. 5', '2212.08073v1.pdf, p. 10']"
What is the main AI-related objective of BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and?,2301.12597v3.pdf,"['2301.12597v3.pdf', '2301.12597v3.pdf', '2301.12597v3.pdf', '2301.12597v3.pdf', '2301.12597v3.pdf']",381.44,1,1,1,"['2301.12597v3.pdf, p. 4', '2301.12597v3.pdf, p. 1', '2301.12597v3.pdf, p. 2', '2301.12597v3.pdf, p. 13', '2301.12597v3.pdf, p. 6']"
What is the main AI-related objective of Toolformer: Language Models Can Teach Themselves to Use Tools Timo Schick Jane?,2302.04761v1.pdf,"['2302.04761v1.pdf', '2302.04761v1.pdf', 'article-p35.pdf', '2303.18223v19 (1).pdf', '2303.18223v19.pdf']",493.67,1,1,1,"['2302.04761v1.pdf, p. 1', '2302.04761v1.pdf, p. 10', 'article-p35.pdf, p. 4', '2303.18223v19 (1).pdf, p. 62', '2303.18223v19.pdf, p. 62']"
"What is the main AI-related objective of LLaMA: Open and Efficient Foundation Language Models Hugo Touvron, Thibaut Lavril,?",2302.13971v1.pdf,"['2306.05685v4.pdf', '2303.18223v19 (1).pdf', '2303.18223v19.pdf', '2310.06825v1.pdf', '2309.12288v4.pdf']",455.85,0,0,0,"['2306.05685v4.pdf, p. 12', '2303.18223v19 (1).pdf, p. 12', '2303.18223v19.pdf, p. 12', '2310.06825v1.pdf, p. 9', '2309.12288v4.pdf, p. 13']"
What is the main AI-related objective of GPT-4 Technical Report OpenAI?,2303.08774v6.pdf,"['2303.08774v6.pdf', '2303.08774v6.pdf', '2303.08774v6.pdf', '2303.08774v6.pdf', '2303.08774v6.pdf']",264.58,1,1,1,"['2303.08774v6.pdf, p. 59', '2303.08774v6.pdf, p. 1', '2303.08774v6.pdf, p. 2', '2303.08774v6.pdf, p. 2', '2303.08774v6.pdf, p. 1']"
